Institution,State,Website URL,Buyer/Seller for Private Institutions ,Percentage of Institutional Aid Without Respect to Financial Need (2022),"Percentage of Students That Chose to Enroll	
(2021)","Acceptance Rate	
(2021)",Applications (2021),Need-Based Institutional Scholarship (2022),Non-Need-Based Institutional Scholarship (2022),Total Institutional Aid 2022 (Calculation),Average Net Price (2021),"Average Net Price (Income $0-$30,000) 	 
","Average Net Price (Income $30,001-$48,000) 	 
","Average Net Price (Income $48,001-$75,000) 	 ","Average Net Price (income $75,001-$110,000) 	 ","Average Net Price (Income over $110,000) 	","Percent of UG Awarded Aid      

",Percent of First-Years Receiving Institutional Aid,Average Amount of Institutional Aid Awarded to First-Years,Public or Private,Retention Rate (2021),Four-year Graduation Rate,Six-year Graduation Rate,Admitted students,Enrolled students
Drexel University,PA,https://drexel.edu/,Buyer,29%,10%,83%,"34,519","$242,498,691","$100,806,907","$343,305,598","$26,076","$11,843","$14,724","$19,656","$25,062","$31,912",90,100,"$31,054",Private,90,26%,71%,"28,522","2,854"
Duke University,NC,www.duke.edu/,Seller,14%,60%,6%,"49,703","$147,010,946","$24,821,737","$171,832,683","$27,297","$2,945","$4,301","$10,304","$18,753","$47,805",54,46,"$48,634",Private,98,88%,96%,"2,927","1,744"
Duquesne University,PA,www.duq.edu/,Buyer,28%,14%,84%,"10,512","$74,126,617","$29,178,755","$103,305,372","$34,505","$25,652","$24,812","$30,984","$34,719","$37,961",98,100,"$22,333",Private,84,69%,77%,"8,857","1,233"
East Carolina University,NC,https://www.ecu.edu/,,11%,20%,94%,"21,898","$87,462,214","$10,329,177","$97,791,391","$14,762","$11,128","$12,830","$16,634","$20,869","$21,878",61,44,"$3,766",Public,81,42%,65%,"20,560","4,100"
East Stroudsburg University of Pennsylvania,PA,https://www.esu.edu/,,0%,24%,93%,"3,054","$2,858,061",$0,"$2,858,061","$16,674","$14,991","$15,427","$18,033","$21,693","$22,309",62,10,"$4,370",Public,67,37%,50%,"2,852",679
Eastern Illinois University,IL,https://www.eiu.edu/,,10%,15%,72%,"7,145","$29,515,434","$3,339,996","$32,855,430","$13,669","$10,386","$9,800","$12,335","$17,528","$19,727",62,84,"$5,526",Public,74,35%,51%,"5,126",778
Eastern Michigan University,MI,www.emich.edu/,,45%,16%,85%,"17,506","$31,934,696","$26,336,589","$58,271,285","$16,311","$13,963","$14,547","$16,210","$19,490","$20,035",68,88,"$7,061",Public,69,20%,47%,"14,811","2,312"
Eastern Washington University,WA,www.ewu.edu/,,51%,32%,97%,"4,232","$3,438,957","$3,625,350","$7,064,307","$13,650","$8,449","$8,974","$12,256","$16,255","$19,571",65,75,"$3,477",Public,67,26%,51%,"4,108","1,305"
Eckerd College,FL,https://www.eckerd.edu/,Buyer,31%,17%,70%,"5,580","$29,428,058","$13,452,987","$42,881,045","$37,494","$27,782","$28,414","$32,563","$35,454","$41,466",98,99,"$24,936",Private,81,59%,65%,"3,927",650
Elon University,NC,www.elon.edu/,Buyer,32%,11%,78%,"17,834","$32,336,750","$15,223,825","$47,560,575","$40,366","$24,048","$22,133","$30,596","$38,312","$46,055",64,67,"$12,510",Private,88,79%,83%,"13,859","1,591"
Emmanuel College,MA,www.emmanuel.edu/,Buyer,17%,10%,74%,"6,072","$40,005,837","$8,041,567","$48,047,404","$28,133","$22,836","$23,082","$25,731","$27,684","$29,398",95,100,"$25,920",Private,86,56%,62%,"4,486",445
Emory University,GA,www.emory.edu/,Seller,10%,34%,13%,"33,435","$149,656,762","$16,974,683","$166,631,445","$28,367","$9,311","$11,416","$15,486","$23,426","$47,322",62,55,"$41,681",Private,95,82%,90%,"4,364","1,494"
Endicott College,MA,www.endicott.edu/,Buyer,29%,21%,77%,"5,055","$33,793,951","$13,829,834","$47,623,785","$38,196","$33,748","$25,466","$28,786","$34,996","$39,833",86,95,"$15,057",Private,87,75%,78%,"3,903",803
Fairfield University,CT,fairfield.edu/,Buyer,51%,18%,56%,"12,674","$47,524,590","$49,140,809","$96,665,399","$44,723","$31,018","$27,835","$30,683","$35,585","$47,358",89,94,"$23,969",Private,89,80%,82%,"7,073","1,256"
Farmingdale State College,NY,www.farmingdale.edu/,,2%,32%,73%,"6,995","$27,254,130","$598,608","$27,852,738","$6,007",$953,"$3,527","$8,564","$11,927","$14,678",50,61,"$1,404",Public,80,32%,51%,"5,072","1,619"
Fashion Institute of Technology,NY,www.fitnyc.edu/,,3%,52%,52%,"4,706","$21,321,748","$754,300","$22,076,048","$8,637","$6,172","$8,133","$11,425","$10,817","$15,898",50,29,"$2,195",Public,86,0%,0%,"2,432","1,262"
Ferris State University,MI,www.ferris.edu/,,60%,16%,85%,"10,480","$23,361,060","$34,982,290","$58,343,350","$13,624","$7,551","$10,177","$13,542","$17,386","$19,959",73,73,"$5,332",Public,77,36%,59%,"8,884","1,405"
Florida Agricultural and Mechanical University,FL,www.famu.edu/,,28%,37%,35%,"8,717","$30,746,038","$11,853,177","$42,599,215","$12,539","$8,409","$10,385","$14,672","$17,233","$18,198",84,61,"$3,322",Public,89,22%,55%,"3,076","1,129"
Florida Atlantic University,FL,www.fau.edu/,,19%,20%,78%,"25,148","$85,487,496","$20,004,151","$105,491,647","$8,771","$3,877","$6,413","$10,001","$14,049","$14,828",63,61,"$3,813",Public,80,34%,56%,"19,617","3,925"
Florida Gulf Coast University,FL,www.fgcu.edu/,,81%,24%,89%,"14,462","$2,255,981","$9,359,276","$11,615,257","$9,840","$5,589","$7,214","$9,726","$12,925","$14,495",55,41,"$3,459",Public,82,29%,53%,"12,901","3,125"
Florida Institute of Technology,FL,https://www.fit.edu/,Buyer,27%,11%,66%,"10,650","$48,374,525","$17,801,747","$66,176,272","$32,314","$27,009","$26,382","$32,008","$29,730","$34,690",80,92,"$20,736",Private,82,43%,60%,"7,016",756
Florida International University,FL,www.fiu.edu/,,34%,39%,64%,"16,406","$169,635,230","$87,823,279","$257,458,509","$9,398","$2,688","$4,163","$8,283","$11,901","$12,755",68,76,"$3,956",Public,90,38%,67%,"10,502","4,061"
Florida Southern College,FL,www.flsouthern.edu/,Buyer,27%,12%,61%,"10,759","$50,506,095","$18,950,341","$69,456,436","$25,783","$20,795","$19,559","$23,062","$26,942","$29,928",97,99,"$23,124",Private,79,62%,68%,"6,550",792
Florida State University,FL,https://www.fsu.edu/,,30%,32%,37%,"65,235","$159,523,127","$69,899,289","$229,422,416","$12,684","$5,438","$6,953","$10,733","$14,901","$16,511",87,65,"$3,699",Public,94,72%,84%,"24,183","7,619"
Fordham University,NY,www.fordham.edu/,Buyer,16%,11%,58%,"46,275","$206,193,330","$38,872,546","$245,065,876","$37,583","$22,402","$23,301","$31,279","$34,099","$42,733",84,94,"$31,055",Private,88,79%,83%,"26,980","2,879"
Fort Lewis College,CO,fortlewis.edu/,,22%,27%,93%,"3,795","$16,660,569","$4,569,678","$21,230,247","$15,807","$12,069","$13,458","$14,487","$17,583","$19,687",88,51,"$4,653",Public,54,29%,42%,"3,520",960
Franklin and Marshall College,PA,www.fandm.edu/,Seller,3%,18%,38%,"7,720","$64,381,915","$1,825,185","$66,207,100","$26,316","$14,608","$15,729","$20,011","$28,114","$46,582",65,62,"$47,175",Private,91,81%,85%,"2,898",510
Furman University,SC,www.furman.edu/,Buyer,48%,13%,71%,"7,174","$35,008,803","$31,891,919","$66,900,722","$33,999","$9,934","$18,331","$20,509","$25,643","$34,641",94,93,"$31,418",Private,91,73%,81%,"5,119",656
George Mason University,VA,https://www2.gmu.edu/,,27%,21%,91%,"20,527","$84,813,619","$32,090,340","$116,903,959","$18,841","$13,342","$14,429","$17,359","$21,649","$24,371",57,45,"$7,796",Public,84,48%,72%,"18,741","3,986"
George Washington University,DC,https://www.gwu.edu/,Seller,24%,19%,50%,"27,236","$185,490,410","$57,223,443","$242,713,853","$31,240","$13,139","$12,510","$18,853","$23,472","$40,379",64,74,"$30,074",Private,91,79%,85%,"13,539","2,571"
Georgetown College,KY,www.georgetowncollege.edu/,Seller,18%,23%,75%,"2,764","$29,552,934","$6,479,011","$36,031,945","$15,028","$9,144","$11,413","$13,799","$17,433","$18,857",97,100,"$34,645",Private,72,50%,56%,"2,060",481
Georgetown University,DC,www.georgetown.edu/,Seller,1%,48%,12%,"27,629","$122,986,000","$1,800,000","$124,786,000","$23,049",$596,"$3,182","$10,579","$20,072","$42,751",39,41,"$32,880",Private,98,90%,94%,"3,311","1,585"
Georgia College & State University,GA,www.gcsu.edu/,,86%,37%,88%,"4,633","$5,122,222","$31,266,849","$36,389,071","$20,443","$15,817","$16,499","$19,728","$20,712","$21,787",85,11,"$2,962",Public,78,48%,62%,"4,062","1,507"
Georgia Institute of Technology-Main Campus,GA,www.gatech.edu/,,43%,49%,16%,"44,048","$77,465,733","$58,571,295","$136,037,028","$17,360","$8,447","$11,620","$14,821","$18,062","$19,035",82,27,"$12,523",Public,97,47%,91%,"7,030","3,453"
Georgia Southern University,GA,www.georgiasouthern.edu/,,20%,33%,91%,"18,541","$98,124,784","$24,919,840","$123,044,624","$15,830","$13,442","$13,996","$16,707","$18,800","$19,092",79,28,"$3,392",Public,72,29%,54%,"16,782","5,571"
Georgia State University,GA,www.gsu.edu/,,55%,31%,100%,"19,755","$110,993,836","$134,415,256","$245,409,092","$17,958","$15,818","$16,329","$18,935","$21,232","$21,407",82,21,"$5,621",Public,75,29%,53%,"19,753","6,058"
Gettysburg College,PA,https://www.gettysburg.edu/,Seller,6%,18%,56%,"6,206","$86,951,523","$5,878,928","$92,830,451","$35,794","$12,468","$15,338","$23,350","$30,270","$38,633",93,94,"$37,291",Private,91,80%,85%,"3,496",623
Gonzaga University,WA,https://www.gonzaga.edu/,Buyer,41%,19%,76%,"8,853","$66,175,041","$45,194,965","$111,370,006","$35,529","$19,141","$18,292","$22,764","$32,079","$38,548",99,100,"$24,664",Private,92,77%,88%,"6,742","1,311"
Gordon College,MA,www.gordon.edu/,Buyer,32%,28%,77%,"1,462","$12,652,943","$5,857,103","$18,510,046","$25,917","$16,049","$16,777","$17,069","$21,313","$27,036",98,100,"$24,498",Private,79,65%,72%,"1,132",317
Goucher College,MD,www.goucher.edu/,Buyer,24%,12%,82%,"2,724","$27,737,960","$8,550,810","$36,288,770","$20,144","$11,523","$11,642","$17,193","$22,933","$28,288",96,94,"$27,367",Private,80,53%,66%,"2,243",264
Grand Valley State University,MI,www.gvsu.edu/,,26%,24%,92%,"17,163","$70,717,761","$24,278,510","$94,996,271","$16,947","$9,910","$10,828","$14,392","$19,560","$22,237",74,79,"$6,622",Public,83,41%,69%,"15,730","3,807"
Grinnell College,IA,www.grinnell.edu/,Mild Buyer,15%,43%,11%,"10,513","$56,617,800","$9,962,486","$66,580,286","$37,423","$13,470","$18,452","$20,113","$28,092","$43,522",100,100,"$34,300",Private,93,81%,87%,"1,108",471
Guilford College,NC,https://www.guilford.edu/,Buyer,61%,10%,82%,"3,027","$12,641,872","$19,975,039","$32,616,911","$25,785","$18,317","$20,426","$20,865","$13,770","$41,951",84,99,"$23,270",Private,58,38%,49%,"2,485",247
Gustavus Adolphus College,MN,gustavus.edu/,Buyer,29%,20%,73%,"3,799","$51,908,287","$20,740,394","$72,648,681","$27,657","$15,582","$15,904","$17,040","$18,402","$20,055",99,98,"$29,269",Private,84,75%,78%,"2,757",551
Hamilton College,NY,https://www.hamilton.edu/,Seller,1%,40%,14%,"9,380","$52,711,261","$590,236","$53,301,497","$26,803","$7,555","$8,702","$14,779","$20,047","$42,090",56,54,"$45,751",Private,94,86%,91%,"1,320",533
Hampden-Sydney College,VA,www.hsc.edu/,Buyer,31%,21%,37%,"2,907","$20,551,518","$9,035,015","$29,586,533","$28,679","$19,494","$15,192","$17,889","$22,810","$31,040",99,97,"$33,061",Private,90,62%,71%,"1,070",222
Hampshire College,MA,www.hampshire.edu/,Mild Buyer,16%,13%,75%,"1,340","$13,981,583","$2,746,062","$16,727,645","$30,168","$19,536","$17,177","$23,545","$32,426","$41,692",100,100,"$32,265",Private,72,59%,66%,"1,007",133
Hampton University,VA,www.hamptonu.edu/,Buyer,53%,6%,80%,"13,192","$11,003,367","$12,380,147","$23,383,514","$33,204","$39,896","$43,139","$44,135","$39,337","$45,439",43,49,"$12,915",Private,81,44%,60%,"10,570",615
Hanover College,IN,www.hanover.edu/,Buyer,26%,15%,73%,"2,613","$23,891,131","$8,358,761","$32,249,892","$21,254","$13,672","$15,533","$17,855","$20,948","$25,899",100,99,"$28,551",Private,80,71%,72%,"1,902",276
Hartwick College,NY,www.hartwick.edu/,Buyer,3%,11%,96%,"3,394","$43,327,981","$1,401,543","$44,729,524","$22,523","$20,829","$20,562","$23,699","$23,187","$24,248",99,100,"$32,947",Private,63,54%,58%,"3,245",360
Harvard University,MA,www.harvard.edu/,Seller,4%,84%,4%,"57,786","$177,905,407","$7,031,360","$184,936,767","$13,910","$1,754",-$273,$538,"$10,912","$48,113",43,56,"$56,127",Private,96,86%,98%,"2,318","1,951"
Harvey Mudd College,CA,https://www.hmc.edu/,Mild Buyer,18%,48%,10%,"4,737","$14,051,731","$3,125,534","$17,177,265","$33,838","$21,439","$11,711","$18,616","$22,036","$38,336",66,62,"$28,193",Private,98,84%,93%,473,225
Haverford College,PA,https://www.haverford.edu/,Seller,0%,43%,18%,"5,332","$36,385,843","$20,000","$36,405,843","$24,462","$6,923","$8,200","$14,648","$20,371","$51,841",45,45,"$51,212",Private,94,85%,93%,951,411
Hendrix College,AR,https://www.hendrix.edu/,Buyer,38%,19%,68%,"2,385","$26,175,029","$15,815,682","$41,990,711","$9,968","$4,004","$7,103","$10,343","$12,727","$15,043",100,100,"$41,407",Private,80,59%,65%,"1,629",316
High Point University,NC,www.highpoint.edu/,Buyer,41%,16%,80%,"11,150","$32,227,498","$22,332,778","$54,560,276","$40,604","$33,814","$35,485","$35,371","$38,054","$41,669",85,89,"$15,032",Private,82,65%,68%,"8,951","1,441"
Hobart William Smith Colleges,NY,www.hws.edu/,Buyer,25%,15%,67%,"3,752","$48,930,131","$16,429,085","$65,359,216","$34,239","$14,335","$20,110","$19,441","$30,699","$42,328",98,92,"$39,677",Private,91,72%,77%,"2,530",367
Hofstra University,NY,www.hofstra.edu/,Buyer,36%,10%,68%,"24,886","$84,011,182","$47,512,816","$131,523,998","$33,234","$25,892","$29,445","$33,426","$35,140","$35,563",90,98,"$27,918",Private,80,55%,65%,"16,862","1,659"
Hollins University,VA,www.hollins.edu/,Buyer,29%,10%,75%,"3,093","$17,894,345","$7,422,882","$25,317,227","$23,825","$19,448","$19,595","$21,611","$29,020","$25,407",99,100,"$29,325",Private,74,59%,62%,"2,311",234
Hope College,MI,https://www.hope.edu/,Buyer,36%,21%,92%,"4,172","$33,324,133","$18,751,486","$52,075,619","$28,688","$17,680","$16,459","$21,579","$24,677","$32,418",96,98,"$19,726",Private,87,66%,76%,"3,854",793
Houston Baptist University,TX,https://www.hbu.edu/,Buyer,17%,10%,85%,"9,685","$45,303,597","$9,470,051","$54,773,648","$20,089","$17,354","$16,783","$18,058","$21,738","$23,717",91,100,"$19,319",Private,68,33%,47%,"8,220",802
Howard University,DC,www.howard.edu/,Mild Buyer,10%,27%,35%,"29,396","$106,282,736","$11,857,067","$118,139,803","$26,870","$42,609","$44,107","$46,678","$48,951","$49,240",88,99,"$20,010",Private,91,52%,64%,"10,362","2,768"
Illinois College,IL,www.ic.edu/,Buyer,18%,9%,75%,"3,522","$23,483,223","$5,055,888","$28,539,111","$18,914","$12,159","$11,795","$14,385","$19,458","$22,165",98,100,"$21,710",Private,76,63%,68%,"2,633",249
Illinois Institute of Technology,IL,https://www.iit.edu/,Buyer,27%,12%,66%,"6,521","$73,366,648","$27,355,107","$100,721,755","$26,789","$18,886","$19,074","$19,192","$21,935","$29,689",93,100,"$36,215",Private,87,38%,72%,"4,311",505
Illinois Wesleyan University,IL,www.iwu.edu/,Buyer,25%,21%,45%,"4,543","$41,798,401","$13,832,698","$55,631,099","$30,610","$19,523","$20,640","$23,050","$27,952","$34,642",100,99,"$32,392",Private,85,78%,82%,"2,055",432
Indiana State University,IN,https://www.indstate.edu/,,58%,12%,94%,"12,581","$21,378,427","$29,889,580","$51,268,007","$13,653","$10,733","$11,469","$16,155","$19,849","$20,496",85,79,"$3,735",Public,61,30%,41%,"11,786","1,434"
Indiana University of Pennsylvania-Main Campus,PA,www.iup.edu/,,10%,21%,94%,"8,846","$35,278,110","$3,959,818","$39,237,928","$21,153","$15,626","$14,856","$19,317","$24,414","$26,088",99,100,"$3,329",Public,71,41%,54%,"8,333","1,721"
Indiana University-Bloomington,IN,www.indiana.edu/,,41%,24%,85%,"46,498","$135,153,340","$94,758,914","$229,912,254","$13,386","$5,625","$6,914","$11,484","$20,628","$23,279",65,61,"$8,452",Public,90,69%,80%,"39,543","9,482"
Indiana University-Purdue University-Indianapolis,IN,www.iupui.edu/,,23%,28%,84%,"15,194","$108,810,490","$32,584,542","$141,395,032","$11,550","$5,579","$6,181","$11,549","$17,776","$19,225",69,75,"$4,758",Public,69,33%,53%,"12,704","3,496"
Iona College,NY,www.iona.edu/,Buyer,16%,11%,93%,"6,625","$52,716,775","$10,170,897","$62,887,672","$28,596","$26,897","$26,778","$29,492","$30,782","$30,886",88,100,"$22,602",Private,70,53%,60%,"6,132",697
Iowa State University,IA,www.iastate.edu/,,32%,29%,91%,"20,357","$122,294,678","$57,041,469","$179,336,147","$15,422","$8,148","$9,986","$12,717","$16,964","$19,610",74,84,"$7,429",Public,88,50%,75%,"18,550","5,387"
Ithaca College,NY,www.ithaca.edu/,Buyer,24%,11%,78%,"13,445","$97,314,014","$30,271,321","$127,585,335","$35,327","$19,771","$21,983","$29,101","$33,298","$41,459",95,98,"$27,308",Private,84,73%,78%,"10,451","1,166"
Jackson State University,MS,https://www.jsums.edu/,,38%,16%,62%,"7,889","$17,997,603","$11,027,151","$29,024,754","$15,477","$14,392","$15,698","$15,713","$19,058","$21,024",88,37,"$5,434",Public,77,23%,42%,"4,900",793
James Madison University,VA,www.jmu.edu/,,17%,26%,86%,"21,176","$45,459,361","$9,091,729","$54,551,090","$18,528","$13,588","$14,826","$18,572","$24,432","$27,600",36,21,"$7,908",Public,91,68%,82%,"18,265","4,767"
Johns Hopkins University,MD,www.jhu.edu/,Seller,4%,48%,8%,"39,515","$138,423,458","$6,200,936","$144,624,394","$20,680","-$2,634",-$722,"$3,586","$8,797","$28,167",58,66,"$42,863",Private,96,89%,94%,"2,972","1,420"
Kalamazoo College,MI,https://www.kzoo.edu/,Buyer,31%,14%,80%,"3,350","$39,024,768","$17,522,890","$56,547,658","$27,395","$18,657","$19,122","$20,817","$26,306","$27,487",99,98,"$36,648",Private,85,72%,79%,"2,666",382
Kansas State University,KS,www.k-state.edu/,,21%,30%,96%,"9,822","$50,559,927","$13,199,452","$63,759,379","$19,874","$13,359","$14,742","$16,707","$20,608","$21,936",73,86,"$5,479",Public,86,40%,68%,"9,391","2,848"
Kean University,NJ,https://www.kean.edu/,,18%,21%,79%,"9,048","$53,618,084","$11,901,551","$65,519,635","$16,276","$11,705","$13,043","$17,179","$22,383","$23,177",70,67,"$2,624",Public,71,26%,50%,"7,162","1,502"
Kennesaw State University,GA,www.kennesaw.edu/,,60%,51%,82%,"20,806","$277,846,061","$418,007,690","$695,853,751","$18,245","$15,631","$16,471","$19,163","$21,005","$21,304",87,7,"$5,253",Public,74,18%,47%,"16,975","8,628"
Kent State University at Kent,OH,www.kent.edu/,,26%,23%,87%,"19,881","$87,551,738","$30,172,548","$117,724,286","$18,947","$13,323","$14,744","$18,871","$21,629","$22,382",81,90,"$5,966",Public,81,48%,19%,"17,359","4,050"
Kenyon College,OH,https://www.kenyon.edu/,Mild Buyer,20%,18%,37%,"7,601","$40,428,778","$10,135,318","$50,564,096","$38,927","$13,244","$15,601","$18,962","$27,334","$44,020",74,79,"$31,452",Private,91,86%,89%,"2,778",508
Kettering University,MI,https://www.kettering.edu/,Buyer,30%,20%,86%,"1,777","$22,505,454","$9,833,296","$32,338,750","$34,760","$28,064","$30,431","$32,194","$34,123","$36,187",90,95,"$21,957",Private,88,10%,67%,"1,521",305
Knox College,IL,https://www.knox.edu/,Buyer ,22%,13%,70%,"3,061","$33,334,549","$9,542,216","$42,876,765","$25,476","$19,060","$17,688","$18,779","$22,136","$31,981",99,100,"$33,962",Private,83,61%,71%,"2,150",270
Kutztown University of Pennsylvania,PA,https://www.kutztown.edu/,,8%,23%,97%,"6,698","$25,450,269","$2,359,068","$27,809,337","$22,418","$16,844","$18,087","$20,962","$24,154","$26,377",81,88,"$2,945",Public,78,37%,52%,"6,514","1,490"
Lafayette College,PA,https://www.lafayette.edu/,Mild Buyer,19%,23%,41%,"8,262","$43,021,237","$10,318,494","$53,339,731","$38,754","$24,133","$19,036","$30,271","$34,957","$53,627",58,59,"$34,231",Private,91,86%,90%,"3,366",782
Lake Forest College,IL,www.lakeforest.edu/,Buyer,12%,15%,64%,"4,358","$59,287,184","$8,020,820","$67,308,004","$25,126","$16,413","$17,327","$19,806","$25,666","$31,652",99,100,"$34,028",Private,87,69%,75%,"2,808",417
Lamar University,TX,www.lamar.edu/,,3%,29%,88%,"6,129","$46,610,963","$1,581,865","$48,192,828","$11,449","$12,526","$10,221","$13,300","$16,921","$17,901",68,39,"$6,229",Public,57,16%,37%,"5,397","1,569"
Lawrence University,WI,https://www.lawrence.edu/,Buyer,34%,18%,75%,"2,907","$35,975,707","$18,414,292","$54,389,999","$24,804","$12,644","$15,062","$15,274","$20,887","$28,882",99,100,"$37,741",Private,89,63%,79%,"2,179",402
Le Moyne College,NY,www.lemoyne.edu/,Mild Buyer,15%,11%,73%,"7,462","$46,766,634","$8,079,055","$54,845,689","$24,618","$18,838","$20,400","$25,006","$26,768","$27,221",86,100,"$21,966",Private,81,70%,78%,"5,477",613
Lehigh University,PA,www.lehigh.edu/,Seller,10%,23%,46%,"14,107","$108,262,482","$11,686,062","$119,948,544","$31,539","$15,188","$17,416","$22,056","$29,779","$49,302",80,54,"$37,972",Private,94,79%,88%,"6,485","1,519"
Lewis & Clark College,OR,www.lclark.edu/,Buyer,30%,15%,79%,"5,519","$50,250,696","$21,310,392","$71,561,088","$37,155","$23,368","$20,075","$28,328","$32,031","$42,968",95,99,"$32,677",Private,86,69%,74%,"4,385",677
Liberty University,VA,https://www.liberty.edu/,Seller,19%,19%,99%,"28,448","$160,446,803","$36,542,801","$196,989,604","$27,891","$28,923","$26,336","$27,214","$27,143","$30,358",66,77,"$10,834",Private,79,37%,58%,"28,244","5,461"
Lincoln University,PA,www.lincoln.edu/,,2%,17%,80%,"3,536","$13,260,669","$244,946","$13,505,615","$14,513","$13,311","$13,251","$16,574","$18,023","$20,631",100,73,"$5,687",Public,73,30%,45%,"2,820",477
Long Island University,NY,www.liu.edu/,Buyer,59%,7%,93%,"17,423","$46,053,381","$65,299,591","$111,352,972","$22,620","$20,832","$27,059","$20,983","$22,548","$28,108",47,96,"$25,150",Private,82,25%,41%,"16,259","1,198"
Louisiana State University and Agricultural & Mechanical College,LA,www.lsu.edu/,,36%,27%,71%,"36,561","$160,881,148","$91,523,989","$252,405,137","$21,010","$13,276","$16,019","$20,438","$23,674","$24,946",82,79,"$6,747",Public,84,39%,66%,"25,907","7,045"
Louisiana Tech University,LA,https://www.latech.edu/,,53%,37%,66%,"7,724","$9,892,553","$11,258,672","$21,151,225","$12,154","$8,421","$9,807","$12,180","$15,677","$14,985",93,81,"$5,771",Public,81,42%,61%,"5,085","1,871"
Loyola Marymount University,CA,https://www.lmu.edu/,Buyer,36%,18%,46%,"19,045","$67,433,632","$38,583,444","$106,017,076","$40,180","$28,383","$22,329","$31,532","$30,217","$38,505",97,100,"$18,076",Private,90,75%,83%,"8,727","1,610"
Loyola University Chicago,IL,https://www.luc.edu/,Buyer,36%,10%,77%,"37,824","$158,669,220","$90,994,533","$249,663,753","$29,371","$20,824","$23,409","$25,510","$28,987","$31,114",91,98,"$23,123",Private,88,69%,76%,"29,117","2,867"
Loyola University Maryland,MD,www.loyola.edu/,Buyer,32%,12%,84%,"9,286","$67,275,885","$31,449,630","$98,725,515","$32,901","$21,444","$22,016","$24,723","$26,606","$35,779",92,98,"$31,592",Private,88,77%,81%,"7,820",954
Loyola University New Orleans,LA,www.loyno.edu/,Buyer,23%,16%,78%,"7,455","$69,227,380","$20,160,610","$89,387,990","$24,850","$18,458","$17,773","$20,383","$24,449","$28,230",92,99,"$28,190",Private,81,50%,59%,"5,835",928
Lynn University,FL,www.lynn.edu/,Buyer,43%,13%,83%,"7,194","$22,150,191","$16,810,154","$38,960,345","$38,315","$33,031","$33,383","$35,206","$36,800","$39,522",93,97,"$16,422",Private,76,54%,59%,"5,972",797
Macalester College,MN,www.macalester.edu/,Seller,11%,21%,31%,"9,046","$69,637,218","$8,316,641","$77,953,859","$30,939","$11,680","$11,010","$17,727","$23,983","$39,494",85,87,"$40,649",Private,96,88%,93%,"2,828",601
Manhattan College,NY,www.manhattan.edu/,Seller,4%,9%,75%,"10,988","$76,100,819","$2,872,029","$78,972,848","$27,651","$22,417","$21,097","$25,607","$26,683","$29,329",95,98,"$26,233",Private,76,55%,70%,"8,218",743
Marist College,NY,www.marist.edu/,Buyer,32%,18%,60%,"11,583","$61,288,601","$28,792,223","$90,080,824","$37,868","$23,489","$27,189","$30,988","$33,831","$40,365",81,94,"$21,419",Private,86,77%,85%,"6,944","1,272"
Marquette University,WI,www.marquette.edu/,Buyer,30%,12%,86%,"16,270","$123,981,073","$53,352,676","$177,333,749","$33,566","$16,410","$17,219","$22,317","$28,638","$37,179",96,100,"$25,579",Private,89,67%,84%,"14,034","1,657"
Marshall University,WV,https://www.marshall.edu/,,45%,29%,98%,"5,602","$25,415,659","$21,199,069","$46,614,728","$8,730","$5,986","$6,275","$9,058","$12,963","$13,876",92,78,"$6,064",Public,71,29%,51%,"5,479","1,596"
Marymount Manhattan College,NY,www.mmm.edu/,Buyer,89%,9%,77%,"6,799","$3,096,539","$25,205,972","$28,302,511","$31,750","$25,626","$25,042","$28,165","$30,953","$36,553",85,99,"$23,390",Private,75,50%,58%,"5,229",454
Maryville University of Saint Louis,MO,https://www.maryville.edu/,Buyer,31%,26%,92%,"3,557","$32,720,140","$14,949,661","$47,669,801","$24,733","$20,294","$20,727","$22,688","$27,178","$27,249",81,98,"$16,199",Private,82,56%,75%,"3,256",834
Massachusetts Institute of Technology,MA,web.mit.edu/,Seller,3%,86%,4%,"33,240","$143,701,729","$4,160,645","$147,862,374","$30,958","-$6,711","-$8,846","-$8,561",-$134,"$37,836",100,100,"$30,938",Private,99,87%,96%,"1,365","1,177"
Mercer University,GA,https://www.mercer.edu/,Buyer ,35%,17%,75%,"7,201","$59,892,642","$32,804,123","$92,696,765","$21,164","$16,868","$17,724","$20,875","$22,758","$24,437",91,99,"$25,404",Private,86,62%,73%,"5,430",950
Mercy College,NY,https://www.mercy.edu/,Buyer,20%,15%,86%,"6,471","$46,419,051","$11,818,126","$58,237,177","$15,027","$11,387","$13,543","$17,380","$21,053","$20,514",80,95,"$7,820",Private,71,33%,48%,"5,551",851
Merrimack College,MA,https://www.merrimack.edu/,Buyer,29%,12%,80%,"10,429","$58,817,326","$23,475,462","$82,292,788","$35,500","$27,332","$28,874","$32,394","$32,646","$38,074",94,99,"$24,451",Private,84,69%,74%,"8,375",967
Metropolitan State University of Denver,CO,www.msudenver.edu/,,9%,18%,89%,"11,306","$65,768,420","$6,751,164","$72,519,584","$14,195","$13,223","$12,721","$14,567","$16,749","$19,569",53,32,"$3,033",Public,63,11%,32%,"10,042","1,832"
Miami University-Oxford,OH,miamioh.edu/,,62%,17%,89%,"29,990","$61,664,508","$100,633,105","$162,297,613","$24,616","$14,029","$16,432","$22,742","$25,772","$28,471",74,88,"$12,307",Public,89,71%,82%,"26,571","4,519"
